genki,state,jnlp,type,writing,reading,english,swedish
,,n5,other,四,よん,four
,,n5,other,四,し,four
,,n5,other,塩,しお,salt
,,n5,other,しかし,しかし,however
,,n5,other,時間,じかん,time
,,n5,other,仕事,しごと,job
,,n5,other,辞書,じしょ,dictionary
,,n5,other,静か,しずか,quiet
,,n5,other,下,した,below
,,n5,other,七,しち,seven
,,n5,other,七,なな,seven
,,n5,other,質問,しつもん,question
,,n5,other,自転車,じてんしゃ,bicycle
,,n5,other,自動車,じどうしゃ,automobile
,,n5,verb,死ぬ,しぬ,to die
,,n5,other,字引,じびき,dictionary
,,n5,other,自分,じぶん,oneself
,,n5,verb,閉まる,しまる,to be closed
,,n5,verb,閉まる,しまる,to close
,,n5,verb,閉める,しめる,to close something
,,n5,verb,締める,しめる,to tie
,,n5,other,じゃあ,じゃあ,well then…
,,n5,other,じゃ,じゃ,well then…
,,n5,other,写真,しゃしん,photograph
,,n5,other,シャツ,シャツ,shirt
,,n5,other,シャワー,シャワー,shower
,,n5,other,十,じゅう とお,ten
,,n5,other,授業,じゅぎょう,class work
,,n5,other,授業,じゅぎょう,lesson
,,n5,other,宿題,しゅくだい,homework
,,n5,other,上手,じょうず,skillful
,,n5,other,丈夫,じょうぶ,durable
,,n5,other,丈夫,じょうぶ,strong
,,n5,other,しょうゆ,しょうゆ,soy sauce
,,n5,other,食堂,しょくどう,dining hall
,,n5,verb,知る,しる,to know
,,n5,other,白,しろ,white
,,n5,other,白い,しろい,white
,,n5,other,新聞,しんぶん,newspaper
,,n5,other,水曜日,すいようび,Wednesday
,,n5,verb,吸う,すう,to suck
,,n5,verb,吸う,すう,to smoke
,,n5,other,スカート,スカート,skirt
,,n5,other,好き,すき,likeable
,,n5,other,少ない,すくない,a few
,,n5,other,すぐに,すぐに,instantly
,,n5,other,少し,すこし,few
,,n5,other,涼しい,すずしい,refreshing
,,n5,other,ストーブ,ストーブ,heater
,,n5,other,スプーン,スプーン,spoon
,,n5,other,スポーツ,スポーツ,sport
,,n5,other,ズボン,ズボン,trousers
,,n5,verb,住む,すむ,to live in
,,n5,other,スリッパ,スリッパ,slippers
,,n5,verb,する,する,to do
,,n5,verb,座る,すわる,to sit
,,n5,other,背,せ,stature
,,n5,other,背,せ,height
,,n5,other,生徒,せいと,pupil
,hidden,n5,noun,セーター,セーター,jumper,jumper
13,,n5,noun,セーター,セーター,sweater,tröja
,,n5,other,せっけん,せっけん,soap
,,n5,other,背広,せびろ,business suit
,,n5,other,狭い,せまい,narrow
,,n5,other,ゼロ,ゼロ,zero
,,n5,other,千,せん,thousand
,,n5,other,先月,せんげつ,last month
,,n5,other,先週,せんしゅう,last week
,,n5,other,先生,せんせい,doctor
,,n5,other,先生,せんせい,teacher
,,n5,other,洗濯,せんたく,washing
,,n5,other,全部,ぜんぶ,all
,,n5,verb,掃除,そうじする,to sweep
,,n5,verb,掃除,そうじする,to clean
,,n5,other,そして,そして,and
,,n5,other,そうして,そうして,and
,,n5,other,そこ,そこ,that place
,,n5,other,そちら,そちら,over there
,,n5,other,そっち,そっち,over there
,,n5,other,外,そと,outside
,,n5,other,その,その,that
,,n5,other,そば,そば,beside
,,n5,other,そば,そば,near
,,n5,other,空,そら,sky
,,n5,other,それ,それ,that
,,n5,other,それから,それから,after that
,,n5,other,それでは,それでは,in that situation
,,n5,other,大学,だいがく,university
,,n5,other,大使館,たいしかん,embassy
,,n5,other,大丈夫,だいじょうぶ,all right
,,n5,verb,大好き,だいすき,to be very likeable
,,n5,other,大切,たいせつ,important
,,n5,other,台所,だいどころ,kitchen
,,n5,other,たいへん,たいへん,very
,,n5,other,たいへん,たいへん,difficult situation
,,n5,other,高い,たかい,expensive
,,n5,other,高い,たかい,tall
,,n5,other,たくさん,たくさん,many
,,n5,other,タクシー,タクシー,taxi
,,n5,verb,出す,だす,to put out
,,n5,verb,立つ,たつ,to stand
,,n5,other,たて,たて,height
,,n5,other,たて,たて,length
,,n5,other,建物,たてもの,building
,,n5,other,楽しい,たのしい,enjoyable
,,n5,verb,頼む,たのむ,to ask
,,n5,other,たばこ,たばこ,cigarettes
,,n5,other,たばこ,たばこ,tobacco
,,n5,other,たぶん,たぶん,probably
,,n5,other,食べ物,たべもの,food
,,n5,verb,食べる,たべる,to eat
,,n5,other,卵,たまご,egg
,,n5,other,誰,だれ,who
,,n5,other,誰,だれか,somebody
,,n5,other,誕生日,たんじょうび,birthday
,,n5,other,だんだん,だんだん,gradually
,,n5,other,小さい,ちいさい,little
,,n5,other,小さな,ちいさな,little
,,n5,other,近い,ちかい,near
,,n5,verb,違う,ちがう,to differ
,,n5,other,近く,ちかく,near
,,n5,other,地下鉄,ちかてつ,underground train
,,n5,other,地図,ちず,map
,,n5,other,茶色,ちゃいろ,brown
,,n5,other,ちゃわん,ちゃわん,rice bowl
,,n5,other,ちょうど,ちょうど,exactly
,,n5,other,ちょっと,ちょっと,somewhat
,,n5,other,一日,ついたち,first of month
,,n5,verb,使う,つかう,to use
,,n5,verb,疲れる,つかれる,to get tired
,,n5,other,次,つぎ,next
,,n5,verb,着く,つく,to arrive at
,,n5,other,机,つくえ,desk
,,n5,verb,作る,つくる,to make
,,n5,verb,つける,つける,to turn on
,,n5,verb,勤める,つとめる,to work for someone
,,n5,other,つまらない,つまらない,boring
,,n5,verb,冷たい,つめたい,cold to the touch
,,n5,other,強い,つよい,powerful
,,n5,other,手,て,hand
,,n5,other,テープ,テープ,tape
,,n5,other,テーブル,テーブル,table
,,n5,other,テープレコーダー,テープレコーダー,tape recorder
,,n5,verb,出かける,でかける,to go out
,,n5,other,手紙,てがみ,letter
,,n5,verb,できる,できる,to be able to
,,n5,other,出口,でぐち,exit
,,n5,other,テスト,テスト,test
,,n5,other,では,では,with that...
,,n5,other,デパート,デパート,department store
,,n5,other,でも,でも,but
,,n5,verb,出る,でる,to leave
,,n5,verb,出る,でる,to appear
,,n5,other,テレビ,テレビ,television
,,n5,other,天気,てんき,weather
,,n5,other,電気,でんき,electric light
,,n5,other,電気,でんき,electricity
,,n5,other,電車,でんしゃ,electric train
,,n5,other,電話,でんわ,telephone
,,n5,other,戸,と,Japanese style door
,,n5,other,ドア,ドア,Western style door
,,n5,other,トイレ,トイレ,toilet
,,n5,other,どう,どう,in what way
,,n5,other,どう,どう,how
,,n5,other,どうして,どうして,for what reason
,,n5,other,どうぞ,どうぞ,please
,,n5,other,動物,どうぶつ,animal
,,n5,other,どうも,どうも,thanks
,,n5,other,遠い,とおい,far
,,n5,other,十日,とおか,the tenth day
,,n5,other,十日,とおか,ten days
,,n5,other,時々,ときどき,sometimes
,,n5,other,時計,とけい,clock
,,n5,other,時計,とけい,watch
,,n5,other,どこ,どこ,where
,,n5,other,所,ところ,place
,,n5,other,年,とし,year
,,n5,other,図書館,としょかん,library
,,n5,other,どちら,どちら,which of two
,,n5,other,どっち,どっち,which
,,n5,other,とても,とても,very
,,n5,other,どなた,どなた,who
,,n5,other,隣,となり,next door to
,,n5,other,どの,どの,which
,,n5,verb,飛ぶ,とぶ,to hop
,,n5,verb,飛ぶ,とぶ,to fly
,,n5,verb,止まる,とまる,to come to a halt
,,n5,other,友達,ともだち,friend
,,n5,other,土曜日,どようび,Saturday
,,n5,other,鳥,とり,bird
,,n5,other,とり肉,とりにく,chicken meat
,,n5,verb,取る,とる,to take something
,,n5,verb,撮る,とる,to take a photo or record a film
,,n5,other,どれ,どれ,which (of three or more)
,,n5,other,ナイフ,ナイフ,knife
,,n5,other,中,なか,middle
,,n5,other,長い,ながい,long
,,n5,verb,鳴く,なく,animal noise. to chirp roar or croak etc.
,,n5,verb,無くす,なくす,to lose something
,,n5,other,なぜ,なぜ,why
,,n5,other,夏,なつ,summer
,,n5,other,夏休み,なつやすみ,summer holiday
,,n5,other,など,など,et cetera
,,n5,other,七つ,ななつ,seven
,,n5,other,七日,なのか,the seventh day
,,n5,other,七日,なのか,seven days
,,n5,other,名前,なまえ,name
,,n5,verb,習う,ならう,to learn
,,n5,verb,並ぶ,ならぶ,to stand in a line
,,n5,verb,並ぶ,ならぶ,to line up
,,n5,verb,並べる,ならべる,to set up
,,n5,verb,並べる,ならべる,to line up
,,n5,verb,なる,なる,to become
,,n5,other,何,なに,what
,,n5,other,何,なん,what
,,n5,other,二,に,two
,,n5,other,賑やか,にぎやか,busy
,,n5,other,賑やか,にぎやか,bustling
,,n5,other,肉,にく,meat
,,n5,other,西,にし,west
,,n5,other,日曜日,にちようび,Sunday
,,n5,other,荷物,にもつ,luggage
,,n5,other,ニュース,ニュース,news
,,n5,other,庭,にわ,garden
,,n5,verb,脱ぐ,ぬぐ,to take off clothes
,,n5,other,温い,ぬるい,luke warm
,,n5,other,ネクタイ,ネクタイ,necktie
,,n5,other,ネクタイ,ネクタイ,tie
,,n5,other,猫,ねこ,cat
,,n5,verb,寝る,ねる,to sleep
,,n5,verb,寝る,ねる,to go to bed
,,n5,other,ノート,ノート,exercise book
,,n5,other,ノート,ノート,notebook
,,n5,verb,登る,のぼる,to climb
,,n5,other,飲み物,のみもの,a drink
,,n5,verb,飲む,のむ,to drink
,,n5,verb,乗る,のる,to ride
,,n5,verb,乗る,のる,to get on
,,n5,other,歯,は,tooth
,,n5,other,パーティー,パーティー,party
1,,n5,other,はい,はい,yes
,,n5,other,灰皿,はいざら,ashtray
,,n5,verb,入る,はいる,to contain
,,n5,verb,入る,はいる,to enter
,,n5,other,葉書,はがき,postcard
,,n5,verb,はく,はく,to put on trousers
,,n5,verb,はく,はく,to wear
,,n5,other,箱,はこ,box
,,n5,other,橋,はし,bridge
,,n5,other,はし,はし,chopsticks
,,n5,verb,始まる,はじまる,to begin
,,n5,other,初め,はじめ,beginning
,,n5,other,始め,はじめ,beginning
,,n5,other,初めて,はじめて,for the first time
,,n5,verb,走る,はしる,to run
,,n5,other,バス,バス,bus
,,n5,other,バター,バター,butter
,,n5,other,二十歳,はたち,20th year
,,n5,other,二十歳,はたち,20 years old
,,n5,verb,働く,はたらく,to work
,,n5,other,八,はち,eight
,,n5,other,二十日,はつか,twentieth
,,n5,other,二十日,はつか,twenty days
,,n5,other,花,はな,flower
,,n5,other,鼻,はな,nose
,,n5,other,話,はなし,story
,,n5,other,話,はなし,talk
,,n5,verb,話す,はなす,to speak
,,n5,other,早い,はやい,early
,,n5,other,速い,はやい,quick
,,n5,other,春,はる,spring
,,n5,verb,貼る,はる,to stick
,,n5,other,晴れ,はれ,clear weather
,,n5,verb,晴れる,はれる,to be sunny
,,n5,other,半,はん,half
,,n5,other,晩,ばん,evening
,,n5,other,パン,パン,bread
,,n5,other,ハンカチ,ハンカチ,handkerchief
,,n5,other,番号,ばんごう,number
,,n5,other,晩御飯,ばんごはん,evening meal
,,n5,other,半分,はんぶん,half minute
,,n5,other,東,ひがし,east
,,n5,verb,引く,ひく,to pull
,,n5,verb,弾く,ひく,to play an instrument with strings including piano
,,n5,other,低い,ひくい,low
,,n5,other,低い,ひくい,short
,,n5,other,飛行機,ひこうき,aeroplane
,,n5,other,左,ひだり,left hand side
,,n5,other,人,ひと,person
,,n5,other,一つ,ひとつ,one
,,n5,other,一月,ひとつき,one month
,,n5,other,一人,ひとり,one person
,,n5,other,暇,ひま,free time
,,n5,other,百,ひゃく,hundred
,,n5,other,病院,びょういん,hospital
,,n5,other,病気,びょうき,illness
,,n5,other,昼,ひる,daytime
,,n5,other,昼,ひる,noon
,,n5,other,昼御飯,ひるごはん,midday meal
,,n5,other,広い,ひろい,wide
,,n5,other,広い,ひろい,spacious
,,n5,other,フィルム,フィルム,roll of film
,,n5,other,封筒,ふうとう,envelope
,,n5,other,プール,プール,swimming pool
,,n5,other,フォーク,フォーク,fork
,,n5,verb,吹く,ふく,to blow
,,n5,other,服,ふく,clothes
,,n5,other,二つ,ふたつ,two
,,n5,other,豚肉,ぶたにく,pork
